	projectID	condition	reference_condition	title	geo_accession	status	submission_date	last_update_date	full_name	passed_replicate_correlations
GSM2497739	6268	oleic acid starvation	low nitrogen	TWN_T1_2	GSM2497739	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497740	6268	ergosterol starvation	low nitrogen	ERGO_T2_2	GSM2497740	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:ergosterol starvation	True
GSM2497741	6268	pantothenic acid starvation	low nitrogen	PANTO_T1_1	GSM2497741	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:pantothenic acid starvation	True
GSM2497742	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T1_3	GSM2497742	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497743	6268	nicotinic acid starvation	low nitrogen	NICO_T2_1	GSM2497743	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nicotinic acid starvation	True
GSM2497744	6268	oleic acid starvation	low nitrogen	TWN_T3_3	GSM2497744	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497745	6268	pantothenic acid starvation	low nitrogen	PANTO_T3_2	GSM2497745	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:pantothenic acid starvation	True
GSM2497746	6268	nitrogen starvation	low nitrogen	MS71_T4_3	GSM2497746	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497748	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T4_3	GSM2497748	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497749	6268	nitrogen starvation	low nitrogen	MS71_T2_3	GSM2497749	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497751	6268	nicotinic acid starvation	low nitrogen	NICO_T4_1	GSM2497751	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nicotinic acid starvation	True
GSM2497752	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T4_2	GSM2497752	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497755	6268	nicotinic acid starvation	low nitrogen	NICO_T2_2	GSM2497755	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nicotinic acid starvation	True
GSM2497756	6268	pantothenic acid starvation	low nitrogen	PANTO_T2_2	GSM2497756	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:pantothenic acid starvation	True
GSM2497757	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T4_1	GSM2497757	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497758	6268	ergosterol starvation	low nitrogen	ERGO_T3_3	GSM2497758	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:ergosterol starvation	True
GSM2497759	6268	oleic acid starvation	low nitrogen	TWN_T4_2	GSM2497759	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:oleic acid starvation	True
GSM2497760	6268	nitrogen starvation	low nitrogen	MS71_T1_1	GSM2497760	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497761	6268	nitrogen plus ergsoterol starvation	low nitrogen	N_ERGO_T2_3	GSM2497761	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen plus ergsoterol starvation	True
GSM2497762	6268	nitrogen starvation	low nitrogen	MS71_T1_2	GSM2497762	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
GSM2497763	6268	ergosterol starvation	low nitrogen	ERGO_T1_2	GSM2497763	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:ergosterol starvation	True
GSM2497764	6268	nitrogen starvation	low nitrogen	MS71_T4_2	GSM2497764	Public on Jul 30 2017	Feb 21 2017	Jul 30 2017	6268:nitrogen starvation	True
